,weeks,song_name,artist_name,url_avg,et_url_avg,display_url_avg,hashtag_avg,et_hashtag_avg,avg_followers,avg_friends,avg_listed,sum_trunc,sum_http,avg_tokens,avg_char,avg_senti,avg_emoji_count,tweets_count
1461,10.0,One Of Them Girls,Lee Brice,1.0,0.0,1.0,0.0,0.0,32.0,171.0,0.0,0,1,15.0,89.0,0.0,0.0,1
1462,10.0,Sofia,CJ,1.0,0.0,1.0,0.0,0.0,10.0,100.0,0.0,1,1,20.0,140.0,0.0,0.0,1
1463,4.0,Got It On Me,,1.0,0.0,1.0,0.0,0.0,587.0,243.0,6.0,0,1,24.0,144.0,0.45879998803138733,1.0,1
1464,4.0,,CJ,0.35007904522277394,0.038458284162009304,0.35007904522277394,0.25094742936029035,0.14095655852686426,8189.287996259269,1572.5630602747656,46.511084144196296,81635,350892,16.341201487386165,100.47610384983635,0.12051417095896477,0.48822560174567475,449110
1465,3.0,Circles,,0.1015625,0.020833333333333332,0.1015625,0.09635416666666667,0.005208333333333333,1759.6979166666667,1036.2864583333333,9.859375,14,37,23.231770833333332,129.0625,0.11758463771548122,0.11197916666666667,384
1466,5.0,Blind,,0.14510166358595195,0.02310536044362292,0.14510166358595195,0.8317929759704251,0.0711645101663586,4072.7107208872458,1982.5961182994454,30.76709796672828,99,307,20.0637707948244,125.06746765249538,0.34605296214357323,0.15434380776340112,1082
1467,2.0,The 1,,0.17752007136485282,0.037169194171870354,0.17752007136485282,0.4647636039250669,0.07552780255724056,10205.967885816235,1175.562295569432,51.22271781147785,282,1183,22.571513529586678,129.6541778174249,0.2510458203268005,0.9494498959262563,3363
1468,0.0,,Harry Styles,0.04243372237596759,0.002767416676693539,0.04243372237596759,0.06220671399350259,0.017847832190269922,1243.3015682027835,747.5791922351904,9.832551237316007,577,9553,16.56479364697389,101.92006577628044,0.14779902463893155,1.088156258773513,24933
1469,0.0,21,,0.22947694507327535,0.03574407244132015,0.22947694507327535,0.6940307399022996,0.141903967592041,17554.432264982723,1538.001668056714,40.954962468723934,1101,3446,18.0388418920529,118.04372691528656,0.20920395573483394,0.6195639223162159,8393
1470,12.0,Runnin,BTS,0.010416666666666666,0.003472222222222222,0.010416666666666666,0.017361111111111112,0.0,1090.0833333333333,826.09375,7.326388888888889,3,278,28.756944444444443,139.65277777777777,0.5334080123446054,0.003472222222222222,288
1471,12.0,,Travis Scott,0.08905605435573889,0.013103615627274934,0.08905605435573889,0.07716573647173017,0.033487017714147055,1829.3584081533609,700.6088328075709,10.093909245328804,150,1128,16.276631885464692,99.9206503275904,0.037515967520988,0.5510798349915069,4121
1472,12.0,The Box,,0.010647010647010647,0.001638001638001638,0.010647010647010647,0.0085995085995086,0.002457002457002457,4121.8681408681405,822.9508599508599,11.88943488943489,18,35,25.656429156429155,142.07043407043406,0.33323800499588374,0.013513513513513514,2442
1473,5.0,Like That,BTS,0.00456968773800457,0.0,0.00456968773800457,0.00456968773800457,0.0007616146230007616,637.3571972581874,782.5163747143945,5.348819497334349,6,9,24.917745620715916,133.96953541507997,-0.06338347504532528,0.00456968773800457,1313
1474,6.0,Adore You,,0.07335907335907337,0.0,0.07335907335907337,0.023166023166023165,0.03861003861003861,883.1235521235521,649.5289575289576,9.11969111969112,19,181,22.424710424710426,129.82239382239382,0.5250830070392506,0.06563706563706563,259
1475,4.0,Stuck With U,Ariana Grande,0.04597701149425287,0.022988505747126436,0.04597701149425287,0.0,0.011494252873563218,476.81609195402297,578.9540229885057,1.206896551724138,2,4,24.93103448275862,139.55172413793105,0.3363724159954608,0.0,87
1476,1.0,Done,Taylor Swift,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0,0.0,1385.1176470588234,650.4117647058823,16.764705882352942,1,1,20.058823529411764,109.0,0.18648235324551077,0.058823529411764705,17
1477,13.0,Like That,,0.16974494283201408,0.009674582233948988,0.16974494283201408,0.052770448548812667,0.03605980650835532,1840.7801231310466,834.4951627088831,15.432717678100264,166,251,20.46877748460862,111.39401934916447,0.40471908322120986,0.34212840809146877,1137
1478,12.0,Over Now,,0.2962962962962963,0.037037037037037035,0.2962962962962963,0.8888888888888888,0.0,4414.888888888889,2666.3333333333335,27.333333333333332,5,12,18.88888888888889,110.03703703703704,0.3609333319796456,0.8148148148148148,27
1479,10.0,Cardigan,Taylor Swift,0.1310344827586207,0.0034482758620689655,0.1310344827586207,0.6103448275862069,0.33793103448275863,488.4172413793103,556.9310344827586,3.024137931034483,35,74,22.131034482758622,126.85172413793103,0.43730724460349,0.1793103448275862,290
1480,5.0,Righteous,,0.3968253968253968,0.06349206349206349,0.3968253968253968,0.47619047619047616,0.047619047619047616,9342.984126984127,8249.888888888889,222.11111111111111,10,43,20.238095238095237,125.19047619047619,0.01140000316358748,0.14285714285714285,63
1481,11.0,Blind,,0.35973597359735976,0.0627062706270627,0.35973597359735976,0.36633663366336633,0.12871287128712872,3006.792079207921,1701.4389438943895,57.54125412541254,58,120,19.41254125412541,117.67986798679868,0.08278415872171374,0.3432343234323432,303
1482,11.0,,YoungBoy Never Broke Again,0.2058165548098434,0.0447427293064877,0.2058165548098434,0.19463087248322147,0.09843400447427293,1954.1856823266219,1182.0671140939598,9.563758389261745,21,92,20.469798657718123,130.04474272930648,0.4060610737359897,0.1476510067114094,447
1483,10.0,Moral Of The Story,,0.019008264462809916,0.0008264462809917355,0.019008264462809916,0.8942148760330578,0.004132231404958678,1303.209090909091,825.3115702479339,12.329752066115702,17,1115,19.1,135.70743801652893,0.6618435377054963,0.03884297520661157,1210
1484,13.0,Whole Lotta Choppas,,0.75,0.0,0.75,0.25,0.0,35805.75,1256.0,77.25,1,3,18.25,117.0,0.08500000089406967,0.75,4
1485,6.0,Thick,,0.15813953488372093,0.013953488372093023,0.15813953488372093,0.16279069767441862,0.04186046511627907,2729.7906976744184,1193.1767441860466,20.613953488372093,22,71,17.92093023255814,111.23720930232558,0.039262325819148576,0.813953488372093,215
1486,11.0,,Chris Lane,0.3,0.0,0.3,0.6,0.0,1016.9,1209.7,16.0,0,2,15.8,93.1,0.1073800005018711,0.0,10
1487,10.0,Greece,,0.4117647058823529,0.14705882352941177,0.4117647058823529,2.1470588235294117,1.2941176470588236,1270.8529411764705,1031.0,17.176470588235293,7,15,19.08823529411765,125.82352941176471,0.3770500062143101,1.1176470588235294,34
1488,2.0,Good Time,BTS,0.06666666666666667,0.0,0.06666666666666667,1.2,0.06666666666666667,557.8,761.4,3.8666666666666667,1,2,26.133333333333333,139.4,0.5171066761016846,0.26666666666666666,15
1489,8.0,ily,King Von,0.0,0.0,0.0,0.0,0.0,883.6666666666666,786.6666666666666,4.666666666666667,0,0,25.0,144.0,0.0,0.0,3
1490,6.0,You Got It,,0.22857142857142856,0.02857142857142857,0.22857142857142856,0.08571428571428572,0.08571428571428572,2456.457142857143,1561.8,17.314285714285713,5,9,17.37142857142857,93.05714285714286,0.2501057143722262,0.2571428571428571,35
1491,0.0,Levitating,,0.2,0.05,0.2,0.4,0.0,7733.75,747.65,37.5,3,13,17.85,120.35,0.283434996381402,1.05,20
1492,6.0,Be Like That,,0.11627906976744186,0.0,0.11627906976744186,0.11627906976744186,0.09302325581395349,2139.6279069767443,692.7441860465116,9.023255813953488,5,23,19.0,106.95348837209302,0.392599995226361,0.20930232558139536,43
1493,7.0,Gone Too Soon,,0.3,0.0,0.3,0.3,0.1,921.8,1095.1,30.0,1,3,18.2,102.5,-0.05954999327659607,0.2,10
1494,0.0,ily,Shawn Mendes,0.0,0.0,0.0,0.0,0.0,549.3157894736842,667.4736842105264,5.368421052631579,0,0,25.0,140.0,0.0,0.0,19
1495,7.0,7 Summers,Morgan Wallen,0.5,0.0,0.5,0.0,0.0,109.5,70.0,0.0,0,1,14.5,78.0,-0.18019999563694,0.0,2
1496,1.0,Everywhere But On,Matt Stell,1.75,1.5,1.75,0.0,3.75,564.5,939.25,7.5,3,4,24.25,131.25,0.20490000396966934,0.0,4
1497,1.0,Always Forever,,0.2857142857142857,0.0,0.2857142857142857,0.0,0.0,992.5714285714286,683.1428571428571,3.142857142857143,0,4,12.714285714285714,76.85714285714286,0.11924285548073905,0.8571428571428571,7
1498,10.0,Put Your Records On,Ritt Momney,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,454.3333333333333,206.33333333333334,1.3333333333333333,0,1,23.333333333333332,134.66666666666666,0.6084999938805898,0.3333333333333333,3
1499,1.0,Hit Different,Zayn,0.0,0.0,0.0,0.0,0.0,1167.0,1182.0,43.0,0,0,6.0,33.0,-0.15309999883174896,0.0,1
1500,2.0,Blind,Taylor Swift,0.0,0.0,0.0,0.0,0.0,464.625,866.0,2.0,0,0,23.0,140.0,0.20229999721050262,0.0,8
1501,10.0,Just Like Magic,Ariana Grande,0.4,0.0,0.4,0.0,0.0,2961.8,876.4,15.0,0,2,15.8,90.6,0.4375599980354309,0.0,5
1502,8.0,21,Harry Styles,0.5,0.25,0.5,0.0,0.0,810.5,395.5,3.75,1,3,24.0,136.5,0.21507499739527702,0.0,4
1503,1.0,Mood,Shawn Mendes,1.0,1.0,1.0,0.0,0.0,131.0,147.0,1.0,1,1,26.0,139.0,0.0,0.0,1
1504,5.0,Safety Net,,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,876.8333333333334,1247.6666666666667,42.0,1,1,22.5,140.0,0.6820499747991562,0.0,6
1505,5.0,Life Is Good,Drake,1.1111111111111112,0.1111111111111111,1.1111111111111112,0.5555555555555556,0.6666666666666666,3305.5555555555557,1345.2222222222222,35.77777777777778,4,9,19.333333333333332,112.33333333333333,0.5001555581887563,0.0,9
1506,4.0,Midnight Sky,CJ,1.0,1.0,1.0,0.0,0.0,592.0,971.0,2.0,1,1,25.0,140.0,0.42149999737739563,0.0,1
1507,2.0,Moral Of The Story,BLACKPINK,0.0,0.0,0.0,0.0,0.0,232.0,784.0,1.0,0,0,16.0,131.0,0.0,0.0,1
1508,1.0,After Party,Don Toliver,0.6666666666666666,0.0,0.6666666666666666,2.3333333333333335,0.0,7100.0,2863.6666666666665,40.0,0,2,14.0,87.0,0.5390666623910269,0.6666666666666666,3
1509,2.0,When You Down,,1.0,0.0,1.0,0.0,0.0,189.0,194.0,1.0,1,1,25.0,140.0,0.0,0.0,1
1510,13.0,Holy,The Weeknd,0.0,0.0,0.0,0.0,0.0,515.0,770.0,3.0,0,2,17.0,98.0,-0.07720000296831131,0.0,2
