date,rank,twitter_extract_period,artist,song,rank_last_week,peak_rank,weeks_on_chart
11/21/20,9,,Bad Bunny & Jhay Cortez,Dakiti,0,9,1
11/21/20,10,,Cardi B Featuring Megan Thee Stallion,WAP,7,1,13
11/21/20,11,,Justin Bieber Featuring Chance The Rapper,Holy,10,3,7
11/21/20,12,,Pop Smoke Featuring Lil Baby & DaBaby,For The Night,14,6,18
11/21/20,13,,DaBaby Featuring Roddy Ricch,Rockstar,11,1,29
11/21/20,14,,Lewis Capaldi,Before You Go,13,9,40
11/21/20,15,,Chris Brown & Young Thug,Go Crazy,16,9,26
11/21/20,16,,BTS,Dynamite,12,1,11
11/21/20,17,,Harry Styles,Watermelon Sugar,15,1,33
11/21/20,18,,Luke Combs,Forever After All,2,2,2
11/21/20,19,,Ava Max,Kings & Queens,22,19,13
11/21/20,20,,Moneybagg Yo,Said Sum,17,17,18
11/21/20,21,,Justin Bieber & benny blanco,Lonely,27,14,3
11/21/20,22,,Kane Brown With Swae Lee & Khalid,Be Like That,19,19,17
11/21/20,23,,Morgan Wallen,More Than My Hometown,23,23,21
11/21/20,24,,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",Whats Poppin,20,2,39
11/21/20,25,,surf mesa Featuring Emilee,ily,25,25,24
11/21/20,26,,AJR,Bang!,28,26,18
11/21/20,27,,Lee Brice,One Of Them Girls,26,17,23
11/21/20,28,,Jason Aldean,Got What I Got,21,16,23
11/21/20,29,,Dua Lipa Featuring DaBaby,Levitating,42,29,5
11/21/20,30,,Pop Smoke,What You Know Bout Love,29,25,9
11/21/20,31,,Juice WRLD x Marshmello,Come & Go,24,2,17
11/21/20,32,,Ariana Grande Featuring Doja Cat,Motive,0,32,1
11/21/20,33,,Shawn Mendes,Wonder,32,18,5
11/21/20,34,,Russell Dickerson,Love You Like I Used To,37,34,9
11/21/20,35,,Ariana Grande Featuring The Weeknd,Off The Table,0,35,1
11/21/20,36,,HARDY Featuring Lauren Alaina & Devin Dawson,One Beer,36,36,22
11/21/20,37,,Harry Styles,Adore You,31,6,48
11/21/20,38,,Parker McCollum,Pretty Heart,43,38,17
11/21/20,39,,Pop Smoke Featuring 50 Cent & Roddy Ricch,The Woo,35,11,18
11/21/20,40,,Ariana Grande,pov,0,40,1
11/21/20,41,,Luke Combs,Better Together,30,30,5
11/21/20,42,,Rod Wave Featuring ATR Son Son,Rags2Riches,40,12,19
11/21/20,43,,Ariana Grande,Just Like Magic,0,43,1
11/21/20,44,,SAINt JHN,Roses,39,4,33
11/21/20,45,,Sam Smith,Diamonds,58,45,7
11/21/20,46,,Blake Shelton Featuring Gwen Stefani,Happy Anywhere,46,45,15
11/21/20,47,,Ariana Grande,Shut Up,0,47,1
11/21/20,48,,Michael Jackson,Thriller,0,4,20
11/21/20,49,,Ariana Grande,Nasty,0,49,1
11/21/20,50,,Dua Lipa,Break My Heart,44,13,32
11/21/20,51,,Matt Stell,Everywhere But On,48,48,9
11/21/20,52,,Ariana Grande Featuring Ty Dolla $ign,Safety Net,0,52,1
11/21/20,53,,Pop Smoke Featuring Lil Tjay,Mood Swings,47,17,18
11/21/20,54,,Jack Harlow,Tyler Herro,34,34,2
11/21/20,55,,21 Savage & Metro Boomin Featuring Drake,Mr. Right Now,49,10,5
11/21/20,56,,Luke Combs,Lovin' On You,41,23,19
11/21/20,57,,Jameson Rodgers,Some Girls,45,29,13
11/21/20,58,,Dan + Shay,I Should Probably Go To Bed,50,42,14
11/21/20,59,,Travis Scott Featuring Young Thug & M.I.A.,Franchise,51,1,6
11/21/20,60,,Maluma & The Weeknd,Hawai,64,55,11
11/21/20,61,,Tate McRae,You Broke Me First.,55,55,11
11/21/20,62,,DJ Khaled Featuring Drake,Popstar,54,3,16
11/21/20,63,,Ariana Grande,Six Thirty,0,63,1
11/21/20,64,,Chris Lane,"Big, Big Plans",67,64,5
11/21/20,65,,Ariana Grande,My Hair,0,65,1
11/21/20,66,,Money Man Featuring Lil Baby,24,52,49,12
11/21/20,67,,Machine Gun Kelly X blackbear,My Ex's Best Friend,57,28,12
11/21/20,68,,Jon Pardi,Ain't Always The Cowboy,65,61,10
11/21/20,69,,Chris Stapleton,Starting Over,63,57,10
11/21/20,70,,Ariana Grande,Obvious,0,70,1
11/21/20,71,,Ariana Grande,West Side,0,71,1
11/21/20,72,,Morgan Wallen,7 Summers,60,6,12
11/21/20,73,,Juice WRLD,Wishing Well,62,5,17
11/21/20,74,,Ne-Yo & Jeremih,U 2 Luv,66,66,5
11/21/20,75,,Ariana Grande,Love Language,0,75,1
11/21/20,76,,Saweetie,Tap In,59,20,17
11/21/20,77,,Jhene Aiko Featuring H.E.R.,B.S.,75,24,14
11/21/20,78,,Megan Thee Stallion Featuring Young Thug,Don't Stop,72,30,5
11/21/20,79,,SZA Featuring Ty Dolla $ign,Hit Different,68,29,9
11/21/20,80,,Trippie Redd,Weeeeee,0,80,1
11/21/20,81,,Polo G,Martin & Gina,73,61,14
11/21/20,82,,Miley Cyrus,Midnight Sky,56,14,12
11/21/20,83,,21 Savage & Metro Boomin,Runnin,61,9,5
11/21/20,84,,Conan Gray,Heather,71,46,12
11/21/20,85,,Niko Moon,Good Time,81,74,5
11/21/20,86,,Harry Styles,Golden,74,74,3
11/21/20,87,,BRS Kash,Throat Baby (Go Baby),93,87,3
11/21/20,88,,DaBaby,Practice,86,86,2
11/21/20,89,,Ritt Momney,Put Your Records On,80,79,5
11/21/20,90,,DaBaby Featuring Young Thug,Blind,83,78,7
11/21/20,91,,"Sech, Daddy Yankee & J Balvin Featuring ROSALIA & Farruko",Relacion,79,64,9
11/21/20,92,,"Lil Durk, 6LACK & Young Thug",Stay Down,0,92,1
11/21/20,93,,YoungBoy Never Broke Again,Kacey Talk,85,50,12
11/21/20,94,,Lady A,Champagne Night,90,90,3
11/21/20,95,,Kelsea Ballerini,Hole In The Bottle,87,87,4
11/21/20,96,,Kenny Chesney,Happy Does,92,85,3
11/21/20,97,,The Kid LAROI,So Done,77,77,2
11/21/20,98,,DJ Chose Featuring BeatKing,Thick,0,98,1
11/21/20,99,,Farruko,La Toxica,98,98,2
11/21/20,100,,Jason Derulo,Take You Dancing,0,100,1
11/28/20,1,11/21/2020-11/27/2020,24kGoldn Featuring iann dior,Mood,1,1,14
11/28/20,2,11/21/2020-11/27/2020,Ariana Grande,Positions,2,1,3
11/28/20,3,11/21/2020-11/27/2020,Gabby Barrett Featuring Charlie Puth,I Hope,5,3,46
11/28/20,4,11/21/2020-11/27/2020,Drake Featuring Lil Durk,Laugh Now Cry Later,3,2,13
11/28/20,5,11/21/2020-11/27/2020,The Weeknd,Blinding Lights,4,1,50
11/28/20,6,11/21/2020-11/27/2020,Internet Money & Gunna Featuring Don Toliver & NAV,Lemonade,7,6,13
11/28/20,7,11/21/2020-11/27/2020,Justin Bieber Featuring Chance The Rapper,Holy,11,3,8
11/28/20,8,11/21/2020-11/27/2020,Bad Bunny & Jhay Cortez,Dakiti,9,8,2
11/28/20,9,11/21/2020-11/27/2020,Jawsh 685 x Jason Derulo,Savage Love (Laxed - Siren Beat),6,1,22
11/28/20,10,11/21/2020-11/27/2020,Pop Smoke Featuring Lil Baby & DaBaby,For The Night,12,6,19
11/28/20,11,11/21/2020-11/27/2020,Cardi B Featuring Megan Thee Stallion,WAP,10,1,14
11/28/20,12,11/21/2020-11/27/2020,Maluma & The Weeknd,Hawai,60,12,12
11/28/20,13,11/21/2020-11/27/2020,Chris Brown & Young Thug,Go Crazy,15,9,27
11/28/20,14,11/21/2020-11/27/2020,DaBaby Featuring Roddy Ricch,Rockstar,13,1,30
11/28/20,15,11/21/2020-11/27/2020,Ava Max,Kings & Queens,19,15,14
11/28/20,16,11/21/2020-11/27/2020,Lewis Capaldi,Before You Go,14,9,41
11/28/20,17,11/21/2020-11/27/2020,BTS,Dynamite,16,1,12
11/28/20,18,11/21/2020-11/27/2020,Harry Styles,Watermelon Sugar,17,1,34
11/28/20,19,11/21/2020-11/27/2020,Morgan Wallen,More Than My Hometown,23,19,22
11/28/20,20,11/21/2020-11/27/2020,Kane Brown With Swae Lee & Khalid,Be Like That,22,19,18
11/28/20,21,11/21/2020-11/27/2020,Justin Bieber & benny blanco,Lonely,21,14,4
11/28/20,22,11/21/2020-11/27/2020,Moneybagg Yo,Said Sum,20,17,19
11/28/20,23,11/21/2020-11/27/2020,surf mesa Featuring Emilee,ily,25,23,25
11/28/20,24,11/21/2020-11/27/2020,AJR,Bang!,26,24,19
11/28/20,25,11/21/2020-11/27/2020,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",Whats Poppin,24,2,40
11/28/20,26,11/21/2020-11/27/2020,Dua Lipa Featuring DaBaby,Levitating,29,26,6
11/28/20,27,11/21/2020-11/27/2020,Luke Combs,Forever After All,18,2,3
11/28/20,28,11/21/2020-11/27/2020,Pop Smoke,What You Know Bout Love,30,25,10
11/28/20,29,11/21/2020-11/27/2020,Lee Brice,One Of Them Girls,27,17,24
11/28/20,30,11/21/2020-11/27/2020,Ariana Grande,34+35,8,8,2
11/28/20,31,11/21/2020-11/27/2020,Russell Dickerson,Love You Like I Used To,34,31,10
11/28/20,32,11/21/2020-11/27/2020,Shawn Mendes,Wonder,33,18,6
11/28/20,33,11/21/2020-11/27/2020,HARDY Featuring Lauren Alaina & Devin Dawson,One Beer,36,33,23
11/28/20,34,11/21/2020-11/27/2020,Jason Aldean,Got What I Got,28,16,24
11/28/20,35,11/21/2020-11/27/2020,"Mike WiLL Made-It, Nicki Minaj & YoungBoy Never Broke Again",What That Speed Bout!?,0,35,1
11/28/20,36,11/21/2020-11/27/2020,Blake Shelton Featuring Gwen Stefani,Happy Anywhere,46,36,16
11/28/20,37,11/21/2020-11/27/2020,Parker McCollum,Pretty Heart,38,37,18
11/28/20,38,11/21/2020-11/27/2020,Juice WRLD x Marshmello,Come & Go,31,2,18
11/28/20,39,11/21/2020-11/27/2020,Luke Combs,Better Together,41,30,6
11/28/20,40,11/21/2020-11/27/2020,Sam Smith,Diamonds,45,40,8
11/28/20,41,11/21/2020-11/27/2020,Pop Smoke Featuring 50 Cent & Roddy Ricch,The Woo,39,11,19
11/28/20,42,11/21/2020-11/27/2020,Rod Wave Featuring ATR Son Son,Rags2Riches,42,12,20
11/28/20,43,11/21/2020-11/27/2020,Harry Styles,Adore You,37,6,49
11/28/20,44,11/21/2020-11/27/2020,Miley Cyrus,Midnight Sky,82,14,13
11/28/20,45,11/21/2020-11/27/2020,Ariana Grande,pov,40,40,2
11/28/20,46,11/21/2020-11/27/2020,SAINt JHN,Roses,44,4,34
11/28/20,47,11/21/2020-11/27/2020,King Von,Took Her To The O,0,47,1
11/28/20,48,11/21/2020-11/27/2020,Chris Stapleton,Starting Over,69,48,11
11/28/20,49,11/21/2020-11/27/2020,Dan + Shay,I Should Probably Go To Bed,58,42,15
11/28/20,50,11/21/2020-11/27/2020,Tate McRae,You Broke Me First.,61,50,12
11/28/20,51,11/21/2020-11/27/2020,Luke Combs,Lovin' On You,56,23,20
11/28/20,52,11/21/2020-11/27/2020,21 Savage & Metro Boomin Featuring Drake,Mr. Right Now,55,10,6
11/28/20,53,11/21/2020-11/27/2020,Pop Smoke Featuring Lil Tjay,Mood Swings,53,17,19
11/28/20,54,11/21/2020-11/27/2020,Matt Stell,Everywhere But On,51,48,10
11/28/20,55,11/21/2020-11/27/2020,Travis Scott Featuring Young Thug & M.I.A.,Franchise,59,1,7
11/28/20,56,11/21/2020-11/27/2020,Chris Lane,"Big, Big Plans",64,56,6
11/28/20,57,11/21/2020-11/27/2020,Jack Harlow,Tyler Herro,54,34,3
11/28/20,58,11/21/2020-11/27/2020,Jon Pardi,Ain't Always The Cowboy,68,58,11
11/28/20,59,11/21/2020-11/27/2020,The Kid LAROI,So Done,97,59,3
11/28/20,60,11/21/2020-11/27/2020,Machine Gun Kelly X blackbear,My Ex's Best Friend,67,28,13
11/28/20,61,11/21/2020-11/27/2020,Jhene Aiko Featuring H.E.R.,B.S.,77,24,15
11/28/20,62,11/21/2020-11/27/2020,Jameson Rodgers,Some Girls,57,29,14
11/28/20,63,11/21/2020-11/27/2020,Morgan Wallen,7 Summers,72,6,13
11/28/20,64,11/21/2020-11/27/2020,DJ Khaled Featuring Drake,Popstar,62,3,17
11/28/20,65,11/21/2020-11/27/2020,NAV Featuring Lil Baby,Don't Need Friends,0,65,1
11/28/20,66,11/21/2020-11/27/2020,King Von Featuring Polo G,The Code,0,66,1
11/28/20,67,11/21/2020-11/27/2020,Money Man Featuring Lil Baby,24,66,49,13
11/28/20,68,11/21/2020-11/27/2020,Ne-Yo & Jeremih,U 2 Luv,74,66,6
11/28/20,69,11/21/2020-11/27/2020,BRS Kash,Throat Baby (Go Baby),87,69,4
11/28/20,70,11/21/2020-11/27/2020,Juice WRLD,Wishing Well,73,5,18
11/28/20,71,11/21/2020-11/27/2020,SZA Featuring Ty Dolla $ign,Hit Different,79,29,10
11/28/20,72,11/21/2020-11/27/2020,Polo G,Martin & Gina,81,61,15
11/28/20,73,11/21/2020-11/27/2020,Megan Thee Stallion Featuring Young Thug,Don't Stop,78,30,6
11/28/20,74,11/21/2020-11/27/2020,Niko Moon,Good Time,85,74,6
11/28/20,75,11/21/2020-11/27/2020,Lady A,Champagne Night,94,75,4
11/28/20,76,11/21/2020-11/27/2020,The Kid LAROI Featuring YoungBoy Never Brok Again & Internet Money,Tragic,0,76,1
11/28/20,77,11/21/2020-11/27/2020,King Von Featuring Lil Durk,All These N**gas,0,77,1
11/28/20,78,11/21/2020-11/27/2020,Harry Styles,Golden,86,74,4
11/28/20,79,11/21/2020-11/27/2020,Conan Gray,Heather,84,46,13
11/28/20,80,11/21/2020-11/27/2020,Ariana Grande Featuring Doja Cat,Motive,32,32,2
11/28/20,81,11/21/2020-11/27/2020,King Von Featuring Lil Durk,Crazy Story 2.0,0,81,1
11/28/20,82,11/21/2020-11/27/2020,Ritt Momney,Put Your Records On,89,79,6
11/28/20,83,11/21/2020-11/27/2020,The Kid LAROI,Always Do,0,83,1
11/28/20,84,11/21/2020-11/27/2020,NAV With Gunna,Young Wheezy,0,84,1
11/28/20,85,11/21/2020-11/27/2020,21 Savage & Metro Boomin,Runnin,83,9,6
11/28/20,86,11/21/2020-11/27/2020,Saweetie,Tap In,76,20,18
11/28/20,87,11/21/2020-11/27/2020,Kelsea Ballerini,Hole In The Bottle,95,87,5
11/28/20,88,11/21/2020-11/27/2020,DaBaby,Practice,88,86,3
11/28/20,89,11/21/2020-11/27/2020,DaBaby Featuring Young Thug,Blind,90,78,8
11/28/20,90,11/21/2020-11/27/2020,"Sech, Daddy Yankee & J Balvin Featuring ROSALIA & Farruko",Relacion,91,64,10
11/28/20,91,11/21/2020-11/27/2020,Kenny Chesney,Happy Does,96,85,4
11/28/20,92,11/21/2020-11/27/2020,YoungBoy Never Broke Again,Kacey Talk,93,50,13
11/28/20,93,11/21/2020-11/27/2020,Darius Rucker,Beers And Sunshine,0,93,1
11/28/20,94,11/21/2020-11/27/2020,Billie Eilish,Therefore I Am,0,94,1
11/28/20,95,11/21/2020-11/27/2020,Ariana Grande Featuring The Weeknd,Off The Table,35,35,2
11/28/20,96,11/21/2020-11/27/2020,Jason Derulo,Take You Dancing,100,96,2
11/28/20,97,11/21/2020-11/27/2020,CJ,Whoopty,0,97,1
11/28/20,98,11/21/2020-11/27/2020,Ariana Grande,Just Like Magic,43,43,2
11/28/20,99,11/21/2020-11/27/2020,The Kid LAROI Featuring Machine Gun Kelly,"F*ck You, Goodbye",0,99,1
11/28/20,100,11/21/2020-11/27/2020,Farruko,La Toxica,99,98,3
