,weeks,song_name,artist_name,url_avg,et_url_avg,display_url_avg,hashtag_avg,et_hashtag_avg,avg_followers,avg_friends,avg_listed,sum_trunc,sum_http,avg_tokens,avg_char,avg_senti,avg_emoji_count,tweets_count
13465,3.0,GO,Taylor Swift,0.23809523809523808,0.10582010582010581,0.23809523809523808,0.14814814814814814,0.026455026455026454,1754.7089947089946,793.5767195767196,13.783068783068783,38,61,20.867724867724867,121.06349206349206,0.3254497335760524,0.19576719576719576,189
13466,12.0,Do They Know It's Christmas?,,0.21428571428571427,0.0,0.21428571428571427,0.7857142857142857,0.14285714285714285,1190.357142857143,1677.142857142857,29.928571428571427,3,3,24.5,139.92857142857142,0.31090714037418365,0.0,14
13467,3.0,Run,Taylor Swift,0.0,0.0,0.0,0.0,0.0,250.6,385.7,1.7,0,1,24.1,138.7,0.45737999081611636,0.9,10
13468,11.0,Jocelyn Flores,XXXTENTACION,0.0,0.0,0.0,0.0,0.0,1289.8181818181818,702.5454545454545,7.909090909090909,0,11,11.0,83.0,0.0,0.0,11
13469,8.0,Sweater Weather,BTS,1.0,0.0,1.0,1.0,1.0,42.0,125.0,1.0,1,1,22.0,140.0,0.5267000198364258,0.0,1
13470,11.0,title track,Topic,0.0,0.0,0.0,0.0,0.0,154.5,413.5,0.0,0,0,27.0,144.0,0.9678000211715698,0.0,2
13471,1.0,Christmas,Gunna,0.0,0.0,0.0,0.0,0.0,634.0,549.0,0.0,0,0,14.0,77.0,-0.32910001277923584,1.0,1
13472,3.0,,The Ronettes,0.2727272727272727,0.045454545454545456,0.2727272727272727,0.045454545454545456,0.0,1518.3181818181818,1183.1363636363637,85.86363636363636,3,13,16.272727272727273,102.54545454545455,0.09037272733720866,0.18181818181818182,22
13473,11.0,Took Her To The O,,0.0,0.0,0.0,0.0,0.0,1017.6666666666666,634.0,0.3333333333333333,0,0,19.666666666666668,81.66666666666667,-0.07100000977516174,3.0,3
13474,3.0,Dior,BLACKPINK,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,180.66666666666666,502.3333333333333,0.0,1,1,21.0,133.33333333333334,0.21636667102575302,0.0,3
13475,4.0,September,Tate McRae,0.0,0.0,0.0,0.0,0.0,1239.0,1224.0,19.0,0,0,21.0,140.0,-0.400299996137619,0.0,1
13476,11.0,Holy,Marshmello,1.0,0.0,1.0,0.0,0.0,0.0,39.0,0.0,1,1,25.0,140.0,0.5105999708175659,0.0,1
13477,0.0,Hello,ZAYN,1.0,0.0,1.0,0.0,0.0,1386.0,2208.0,0.0,1,1,23.0,140.0,0.42149999737739563,0.0,1
13478,10.0,Run,Future,0.3,0.1,0.3,0.2,0.8,667.4,692.8,3.5,2,3,23.2,124.1,0.22649000063538552,0.6,10
13479,12.0,GO,DJ Khaled,0.25,0.0,0.25,0.0,0.0,1880.5,1422.5,366.25,1,2,22.5,121.25,0.506074994802475,0.0,4
13480,4.0,Stay,Wallows,0.0,0.0,0.0,0.0,0.0,831.0,249.0,27.0,0,0,7.0,41.0,0.0,0.0,1
13481,8.0,Body,Taylor Swift,0.1,0.0,0.1,0.3,0.0,318.0,261.5,2.7,0,1,20.9,122.1,0.22767999693751334,0.1,10
13482,13.0,HOY cobré,BTS,0.0,0.0,0.0,0.0,0.0,590.0,275.5,2.5,0,2,14.0,77.5,-0.8579000234603882,0.0,2
13483,3.0,Stay,Trippie Redd,2.0,1.0,2.0,0.0,0.0,3504.0,2222.0,7.0,1,2,24.0,134.0,0.5422999858856201,0.0,2
13484,8.0,cardigan,BLACKPINK,0.0,0.0,0.0,1.0,0.0,512.0,448.0,1.0,0,0,14.0,82.0,0.45879998803138733,0.0,1
13485,2.0,HOLIDAY,NAV,0.8,0.0,0.8,0.1,0.0,1693.7,2100.8,2.6,8,8,12.8,134.8,0.08909999728202819,0.0,10
13486,7.0,Hit Different,Taylor Swift,0.0,0.0,0.0,0.0,0.0,460.5,467.0,3.25,0,1,13.0,74.25,0.16222500801086426,0.5,4
13487,1.0,The Christmas Song,Nat King Cole,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,315.1666666666667,457.8333333333333,2.0,0,4,14.833333333333334,87.0,0.3172333315014839,0.0,6
13488,10.0,E-GIRLS ARE RUINING MY LIFE!,,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,365.6666666666667,648.6666666666666,6.666666666666667,1,1,20.333333333333332,117.66666666666667,-0.3716333309809367,0.0,3
13489,9.0,Stay,Pop Smoke,0.0,0.0,0.0,0.0,0.0,315.0,197.0,1.0,0,1,18.0,96.0,0.0,0.0,1
13490,1.0,GO,Machine Gun Kelly,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,435.3333333333333,477.6666666666667,11.333333333333334,2,2,22.0,121.0,-0.2961000104745229,0.0,3
13491,5.0,Run,Joji,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,456.0,625.6666666666666,6.0,0,1,14.666666666666666,72.33333333333333,-0.1580333411693573,0.0,3
13492,8.0,Ice Cream,CJ,0.5,0.0,0.5,0.0,0.0,68.0,67.5,0.0,1,2,22.5,117.5,0.1581999957561493,0.5,2
13493,0.0,Ew,Tate McRae,0.5,0.0,0.5,2.5,3.5,2026.5,1860.75,30.0,2,2,15.0,93.5,-0.38504999317228794,0.0,4
13494,1.0,Afterthought,,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,2249.3333333333335,396.6666666666667,13.333333333333334,1,2,18.0,138.33333333333334,0.20233334104220072,0.3333333333333333,3
13495,2.0,Ew,YoungBoy Never Broke Again,1.1666666666666667,0.0,1.1666666666666667,0.5,0.0,638.6666666666666,927.1666666666666,28.833333333333332,0,6,18.833333333333332,118.0,0.3959333300590515,0.0,6
13496,10.0,Run,James Arthur,0.0,0.0,0.0,0.0,0.0,254.0,161.0,2.0,0,0,5.0,38.0,-0.19840000569820404,0.0,1
13497,3.0,Train Wreck,,0.0,0.0,0.0,0.0,0.0,259.5,492.5,1.0,0,0,11.0,67.0,-0.3249499946832657,3.0,2
13498,4.0,Gimme Love,Joji,0.0,0.0,0.0,0.0,0.0,248.0,262.5,5.5,0,1,23.0,109.5,0.6427499949932098,0.0,2
13499,9.0,Toosie Slide,Drake,0.0,0.0,0.0,3.0,0.0,3997.0,211.0,43.0,0,0,8.0,66.0,0.0,0.0,1
13500,0.0,Falling,CJ,0.5,0.5,0.5,0.5,0.5,627.0,820.0,3.5,1,2,23.0,130.0,0.7146999835968018,1.5,2
13501,0.0,Holy,Miley Cyrus,0.0,0.0,0.0,0.0,0.0,176.0,283.5,0.5,0,2,24.0,140.0,0.6899999976158142,0.0,2
13502,8.0,Hello,Shawn Mendes,1.0,0.0,1.0,0.0,0.0,231.0,95.0,4.0,0,1,19.0,120.0,0.45590001344680786,0.0,1
13503,11.0,lovely,Future,0.0,0.0,0.0,1.0,0.0,225.0,238.0,0.3333333333333333,0,0,19.333333333333332,128.33333333333334,0.41056666026512784,0.6666666666666666,3
13504,4.0,Daisy,CJ,0.5,0.0,0.5,0.0,0.0,449.5,307.0,2.5,1,2,26.0,138.0,0.05654999613761902,0.0,2
13505,12.0,Wonder,Lady Gaga,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,301.0,721.3333333333334,0.0,1,1,22.666666666666668,141.66666666666666,0.4463333288828532,0.0,3
13506,12.0,Better,Lil Mosey,0.0,0.0,0.0,0.0,0.0,90.0,292.0,0.0,0,0,26.0,147.0,0.44040000438690186,0.0,1
13507,3.0,Monster,blackbear,1.0,0.0,1.0,3.5,0.0,1175.0,789.0,13.0,1,2,22.0,139.5,-0.10114999860525131,0.0,2
13508,9.0,Roses,Clairo,0.0,0.0,0.0,0.0,0.0,1189.0,256.0,34.0,0,0,12.0,73.0,-0.6248999834060669,0.0,1
13509,8.0,Hello,Saweetie,1.0,0.0,1.0,2.0,3.0,281.0,166.0,0.0,1,1,18.0,135.0,0.8955000042915344,1.0,1
13510,12.0,Christmas,Burl Ives,0.0,0.0,0.0,0.0,0.0,1177.0,2025.0,0.0,0,0,23.0,115.0,0.8047000169754028,0.0,1
13511,6.0,Flex,CORPSE,0.0,0.0,0.0,0.0,0.0,258.5,83.5,0.5,0,1,15.0,93.0,-0.3918999880552292,0.5,2
13512,12.0,FRANCHISE,Fleetwood Mac,0.0,0.0,0.0,0.0,0.0,748.0,689.0,13.0,0,0,22.0,116.0,0.10019999742507935,0.0,1
13513,1.0,Wonder,Marshmello,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0,17.0,109.0,-0.10270000249147415,0.0,1
13514,8.0,Rain On Me,BLACKPINK,0.0,0.0,0.0,1.0,0.0,252.0,1541.0,0.0,0,0,17.0,84.0,0.5092999935150146,0.0,1
13515,8.0,ALWAYS DO,BLACKPINK,1.0,0.0,1.0,0.0,0.0,4871.0,661.0,9.0,1,1,23.0,140.0,-0.06440000236034393,0.0,1
13516,2.0,the 1,BTS,0.1875,0.0,0.1875,0.08482142857142858,0.015625,933.5803571428571,817.7053571428571,5.354910714285714,5,86,25.236607142857142,137.98214285714286,0.2973383840289898,0.2544642857142857,448
13517,0.0,Ew,Miley Cyrus,0.32727272727272727,0.0,0.32727272727272727,0.43636363636363634,0.0,30845.454545454544,7246.8,121.2,2,20,19.036363636363635,110.6,0.2779599981001494,0.09090909090909091,55
13518,5.0,Better,Miley Cyrus,0.0,0.0,0.0,0.0,0.0,539.0,492.0,2.5,0,0,13.0,75.0,0.46745000779628754,0.0,2
13519,1.0,,NLE Choppa,0.14213197969543148,0.01903553299492386,0.14213197969543148,0.07360406091370558,0.05203045685279188,8413.847715736041,1092.1776649746193,24.303299492385786,39,222,14.300761421319796,80.29187817258884,0.08702347746891853,0.34390862944162437,788
13520,1.0,,Ariana Grande,0.10314970510729075,0.015936754925335677,0.10314970510729075,0.17241812021583636,0.04404567699836868,4749.992972769482,1147.2297653406952,20.501568578240683,403,4134,16.98469067637094,100.82921320115447,0.12144828748829431,0.41272430668841764,7969
13521,0.0,Intro,,0.19117082533589252,0.05758157389635317,0.19117082533589252,0.3666026871401152,0.10671785028790787,7649.759692898273,1166.479462571977,30.656813819577735,313,965,19.34165067178503,116.79385796545105,0.23765781064108443,0.5581573896353167,2605
13522,2.0,GO,Travis Scott,0.4,0.075,0.4,0.0,0.0,697.25,816.15,6.2,10,17,18.425,103.525,0.12457499969750643,0.95,40
13523,2.0,Better,Ariana Grande,0.0,0.0,0.0,0.0,0.0,322.6666666666667,742.1666666666666,2.6666666666666665,0,6,15.833333333333334,97.33333333333333,0.44040000438690186,0.0,6
