,week,url_avg,et_url_avg,display_url_avg,hashtag_avg,et_hashtag_avg,avg_followers,avg_friends,avg_listed,sum_trunc,sum_http,avg_tokens,avg_char,avg_senti,avg_emoji_count,song_id,artist_id
728,7,0.5,0.0,0.5,2.0,1.75,1141.75,1446.25,18.0,1.0,2.0,17.25,108.0,0.4685499966144562,1.0,6,6
730,7,1.5,0.5,1.5,2.5,5.0,6045.0,2743.5,129.0,1.0,2.0,21.5,131.0,0.3919999897480011,1.0,4,4
734,7,0.0,0.0,0.0,0.0,0.0,653.0,726.0,23.285714285714285,0.0,0.0,20.571428571428573,130.85714285714286,0.5443428520645414,0.0,38,31
736,7,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,57422.0,48465.66666666666,123.66666666666669,0.0,2.0,15.0,88.66666666666669,-0.11373333136240643,0.0,83,71
738,7,0.0,0.0,0.0,1.0,0.0,473.0,1830.0,11.0,0.0,0.0,12.0,66.0,0.0,0.0,13,6
743,7,1.0,0.0,1.0,3.333333333333333,4.666666666666667,2794.333333333333,2448.333333333333,60.33333333333334,2.0,3.0,18.666666666666668,115.66666666666669,0.6369000077247621,0.0,72,34
746,7,0.5,0.0,0.5,1.5,2.0,22865.83333333333,7058.5,105.33333333333331,2.0,3.0,20.83333333333333,123.16666666666669,0.2464333325624466,0.16666666666666666,22,19
750,7,1.0,0.0,1.0,2.833333333333333,0.0,1308.6666666666667,1192.0,5.166666666666667,0.0,6.0,16.333333333333332,115.66666666666669,0.20829999446868894,0.0,54,45
752,7,1.0,0.0,1.0,2.0,0.0,277.5,641.0,0.0,0.0,2.0,12.0,83.0,0.0,0.0,64,54
754,7,0.15625,0.0625,0.15625,0.125,0.21875,2887.09375,1330.4375,14.90625,3.0,21.0,15.46875,96.5,0.3087562485598028,0.0,7,7
758,7,0.055301455301455305,0.005197505197505198,0.055301455301455305,0.6548856548856549,0.019542619542619544,977.66632016632,543.4823284823285,3.922869022869023,51.0,2255.0,19.92349272349273,132.53014553014552,0.3954263623486314,0.6538461538461539,84,72
761,7,0.6,0.0,0.6,0.0,0.0,286.0,283.8,0.2,0.0,3.0,16.8,96.0,0.3976599901914597,0.0,16,14
762,7,1.0,0.0,1.0,0.0,0.0,760.0,798.0,1.0,0.0,1.0,13.0,95.0,0.8126000165939331,0.0,85,73
763,7,0.0,0.0,0.0,0.0,0.0,312.25,358.484375,0.375,0.0,17.0,26.25,142.5,0.5092999935150146,0.0,59,49
766,7,0.5,0.0,0.5,0.0,0.0,109.5,70.0,0.0,0.0,1.0,14.5,78.0,-0.18019999563694,0.0,2,2
767,7,1.0,0.0,1.0,0.0,0.0,334.0,521.0,0.0,0.0,1.0,19.0,114.0,0.8590999841690063,0.0,76,64
768,7,0.5238095238095238,0.0,0.5238095238095238,0.0,0.0,2002.333333333333,563.4285714285714,34.57142857142857,4.0,14.0,18.476190476190478,110.57142857142857,0.07455714117913019,2.0,32,27
